,Country Name,Country Code,Series Code,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020
346,Lithuania,LTU,SP.POP.TOTL.MA.ZS,45.9964351064182,45.9845000641918,45.9931377781795,46.0167228784943,46.0503391689678,46.095298411001,46.150637217225295,46.208041352672204,46.2553508059592,46.28406735356361
349,Luxembourg,LUX,SP.POP.TOTL.MA.ZS,49.771043226422606,49.8735059479519,49.9800941473107,50.0862019216897,50.188886987177604,50.2863969230025,50.378433353493904,50.46074102514879,50.5270167118705,50.5749421703068
352,"Macao SAR, China",MAC,SP.POP.TOTL.MA.ZS,48.0281682470004,48.02575008377111,48.0030067478627,47.98122702089089,47.9728214744234,47.9803336683942,47.99880496901589,48.0217151415458,48.0455807359247,48.0640402130156
355,Madagascar,MDG,SP.POP.TOTL.MA.ZS,49.8204467721396,49.8287460741863,49.8375589944785,49.8462752931901,49.854547810356294,49.8622339107196,49.8693592787411,49.876033386701295,49.88236998015449,49.8884457809227
358,Malawi,MWI,SP.POP.TOTL.MA.ZS,49.2143291477851,49.2269685457466,49.2412190018402,49.2554060732187,49.2683411857831,49.279612453243196,49.2895465261755,49.298484309423706,49.30700392173411,49.315521129035595
361,Malaysia,MYS,SP.POP.TOTL.MA.ZS,51.5896045654593,51.5756863972503,51.547326653233995,51.5148155769691,51.48553077181379,51.4612908107936,51.440249055969296,51.421479418015096,51.4030436945922,51.383593980324704
364,Maldives,MDV,SP.POP.TOTL.MA.ZS,55.2564698956354,56.29772097343861,57.408949161677796,58.542864892946994,59.652373855278206,60.7644504263888,61.84009605195829,62.735018537765896,63.2951444278915,63.4415087079265
367,Mali,MLI,SP.POP.TOTL.MA.ZS,49.966325252618596,49.976870353575706,49.9842004676759,49.992450195353,50.004237683708496,50.020088561109105,50.038809061738995,50.059003273708,50.0789779318093,50.0975614140139
370,Malta,MLT,SP.POP.TOTL.MA.ZS,49.700038303169606,49.7900708614563,49.8878313433957,49.9762895464795,50.044169305677,50.089314582239396,50.1136013335312,50.1266917849541,50.13499796765039,50.14732560430679
373,Marshall Islands,MHL,SP.POP.TOTL.MA.ZS,,,,,,,,,,
376,Mauritania,MRT,SP.POP.TOTL.MA.ZS,50.018979360570604,50.0414805661861,50.0638769329747,50.086036408002904,50.108642356085994,50.131715091897895,50.1547897973699,50.177343781226504,50.1987317757393,50.2183170382351
379,Mauritius,MUS,SP.POP.TOTL.MA.ZS,49.56741167988461,49.5654130191809,49.5600808629201,49.548296378656396,49.5288842731431,49.50018623154529,49.464569706373396,49.422893597141396,49.380626461994105,49.3392264463538
382,Mexico,MEX,SP.POP.TOTL.MA.ZS,48.929681497982294,48.9240988440795,48.9158092967266,48.9084516600235,48.9045021662095,48.904327027316796,48.9067244476773,48.91071916806089,48.914861250545904,48.918125559608605
385,"Micronesia, Fed. Sts.",FSM,SP.POP.TOTL.MA.ZS,50.760768695383206,50.7722044667292,50.7920922943298,50.806931983172596,50.8265525411899,50.8333711382298,50.8411013717803,50.845170454545496,50.84482167804521,50.842889559297895
388,Moldova,MDA,SP.POP.TOTL.MA.ZS,48.09315235193849,48.0973079176526,48.0912043803234,48.0770519616626,48.0572038504387,48.031572943815,47.9999812793449,47.964436876072,47.9278838995681,47.892184435008495
391,Monaco,MCO,SP.POP.TOTL.MA.ZS,,,,,,,,,,
394,Mongolia,MNG,SP.POP.TOTL.MA.ZS,49.562565402220706,49.528799184904,49.4949480928994,49.46160195992601,49.4283180581324,49.395391508455496,49.3630266415055,49.3304552941852,49.29767956130011,49.26464756647671
397,Montenegro,MNE,SP.POP.TOTL.MA.ZS,49.403858486960104,49.4167887514758,49.4239568797877,49.4269528444905,49.4306627089258,49.4352520680854,49.43822373211929,49.4409870612278,49.4445753740517,49.4478252147081
400,Morocco,MAR,SP.POP.TOTL.MA.ZS,49.334732684478595,49.38268566975329,49.4395475343019,49.493395571022,49.5362138874868,49.5654136274175,49.5839508986431,49.59615270871821,49.608409420042896,49.6250612087739
403,Mozambique,MOZ,SP.POP.TOTL.MA.ZS,48.2734511627907,48.307931331438105,48.3425487638235,48.3777338307504,48.413717609137,48.4505746151715,48.4878795275522,48.5248088987225,48.5603310250203,48.5939005488165
406,Myanmar,MMR,SP.POP.TOTL.MA.ZS,48.2047008967062,48.199039466190605,48.198303556027696,48.1990927609087,48.198990203703396,48.197332618169604,48.194807060535794,48.19210313009621,48.1903277580107,48.190202668291704
409,Namibia,NAM,SP.POP.TOTL.MA.ZS,48.34445991047421,48.3592182713779,48.3733197940816,48.387235828217,48.401637910217296,48.4164417627491,48.4315267105992,48.44630968427071,48.460628159921505,48.473975526935995
412,Nauru,NRU,SP.POP.TOTL.MA.ZS,,,,,,,,,,
