,Country Name,Country Code,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020
0,Afghanistan,AFG,3.32999992370605,3.32999992370605,3.32999992370605,10.1099996566772,3.32999992370605,3.32999992370605,14.029999732971199,3.32999992370605,3.32999992370605,16.770000457763697
3,Albania,ALB,13.75,11.4899997711182,13.4399995803833,15.520000457763699,17.120000839233402,14.470000267028801,12.5,11.880000114440902,11.3199996948242,11.3199996948242
6,Algeria,DZA,15.5799999237061,16.9899997711182,16.2999992370605,15.5799999237061,16.5699996948242,18.25,26.2299995422363,15.5799999237061,15.5799999237061,15.5799999237061
15,Angola,AGO,7.71000003814697,7.71000003814697,7.71000003814697,9.10000038146973,7.71000003814697,7.71000003814697,7.71000003814697,7.71000003814697,7.71000003814697,7.71000003814697
21,Argentina,ARG,8.48999977111816,8.78999996185303,8.46000003814697,8.35999965667725,8.35999965667725,8.35999965667725,9.44999980926514,10.510000228881802,10.6899995803833,12.359999656677198
24,Armenia,ARM,19.6100006103516,18.1499996185303,18.0699996948242,19.3799991607666,19.229999542236303,17.4899997711182,17.479999542236303,20.4300003051758,19.3099994659424,17.129999160766598
27,Aruba,ABW,7.800000190734861,7.800000190734861,7.800000190734861,7.800000190734861,7.800000190734861,7.800000190734861,7.800000190734861,7.800000190734861,7.800000190734861,7.800000190734861
30,Australia,AUS,5.300000190734861,5.32999992370605,5.610000133514401,6.17000007629395,6.07000017166138,5.78000020980835,5.67000007629395,5.32000017166138,5.09999990463257,6.349999904632571
33,Austria,AUT,4.57999992370605,4.78999996185303,5.28999996185303,5.380000114440921,5.30999994277954,5.53999996185303,5.03000020980835,4.65000009536743,4.349999904632569,5.230000019073491
36,Azerbaijan,AZE,6.449999809265139,6.09000015258789,5.949999809265139,5.84000015258789,5.869999885559079,6.0,5.900000095367429,5.84000015258789,5.71000003814697,8.409999847412111
39,"Bahamas, The",BHS,15.3100004196167,13.970000267028801,16.2600002288818,14.6000003814697,12.8999996185303,14.5,10.8999996185303,10.0,10.0,10.0
42,Bahrain,BHR,3.8800001144409197,3.8800001144409197,3.8800001144409197,3.8800001144409197,3.8800001144409197,3.8800001144409197,3.8800001144409197,3.8800001144409197,3.8800001144409197,3.8800001144409197
45,Bangladesh,BGD,6.67999982833862,6.67999982833862,7.40999984741211,6.67999982833862,6.67999982833862,7.28999996185303,6.67999982833862,6.67999982833862,6.67999982833862,6.67999982833862
48,Barbados,BRB,12.630000114440902,12.270000457763699,11.4300003051758,12.779999732971199,8.97000026702881,8.64999961853027,8.77999973297119,8.53999996185303,7.26999998092651,7.26999998092651
51,Belarus,BLR,0.6000000238418579,0.5,0.400000005960464,0.400000005960464,0.699999988079071,4.19000005722046,4.03999996185303,3.5599999427795397,3.20000004768372,3.29999995231628
54,Belgium,BEL,7.17999982833862,7.40999984741211,8.17000007629395,7.94000005722046,7.76999998092651,7.55999994277954,7.050000190734861,5.55999994277954,4.94000005722046,5.3600001335144
57,Belize,BLZ,9.8100004196167,9.8100004196167,12.5900001525879,14.020000457763699,11.0699996948242,11.140000343322802,9.8100004196167,9.8100004196167,13.5799999237061,9.8100004196167
60,Benin,BEN,2.85999989509583,1.7300000190734899,1.7300000190734899,1.7300000190734899,1.7300000190734899,1.7300000190734899,1.7300000190734899,1.7300000190734899,1.7300000190734899,1.7300000190734899
63,Bermuda,BMU,5.55999994277954,8.17000007629395,5.55999994277954,8.050000190734862,5.55999994277954,5.55999994277954,5.55999994277954,5.55999994277954,5.55999994277954,5.55999994277954
66,Bhutan,BTN,4.53999996185303,2.2000000476837203,3.70000004768372,3.49000000953674,3.1500000953674303,2.2000000476837203,2.2000000476837203,2.2000000476837203,2.2000000476837203,2.2000000476837203
69,Bolivia,BOL,2.6800000667572,2.7899999618530296,3.0,2.8499999046325697,3.7899999618530296,4.0300002098083505,4.05000019073486,3.60999989509583,4.38000011444092,9.77999973297119
72,Bosnia and Herzegovina,BIH,29.940000534057603,30.6599998474121,29.0200004577637,31.1700000762939,30.690000534057603,30.0499992370605,23.1299991607666,20.3299999237061,18.7800006866455,18.5400009155273
75,Botswana,BWA,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,23.5,25.6399993896484
78,Brazil,BRA,9.35999965667725,9.22000026702881,8.96000003814697,8.310000419616701,10.3199996948242,13.789999961853,15.039999961853,14.5600004196167,14.470000267028801,16.5599994659424
84,Brunei Darussalam,BRN,7.880000114440921,7.880000114440921,7.880000114440921,7.880000114440921,7.880000114440921,7.880000114440921,9.96000003814697,10.0699996948242,8.340000152587889,8.90999984741211
87,Bulgaria,BGR,10.1099996566772,10.8400001525879,11.8400001525879,10.3999996185303,8.42000007629395,6.96999979019165,5.949999809265139,4.65000009536743,3.8699998855590803,4.769999980926509
90,Burkina Faso,BFA,4.63000011444092,4.63000011444092,4.63000011444092,9.23999977111816,4.63000011444092,4.63000011444092,4.63000011444092,4.63000011444092,4.63000011444092,4.63000011444092
93,Burundi,BDI,1.16999995708466,1.16999995708466,1.16999995708466,1.16999995708466,1.16999995708466,1.16999995708466,1.16999995708466,1.16999995708466,1.16999995708466,1.16999995708466
96,Cabo Verde,CPV,11.5500001907349,11.5500001907349,11.5500001907349,11.5500001907349,31.6299991607666,11.5500001907349,12.7600002288818,11.5500001907349,12.0699996948242,11.5500001907349
99,Cambodia,KHM,0.479999989271164,1.12999999523163,0.519999980926514,0.6899999976158139,0.46000000834465005,0.8500000238418579,0.170000001788139,0.170000001788139,1.21000003814697,0.170000001788139
