,Year,Female Mean,Male Mean
0,YR2011,49.97806134978167,50.02193865021833
1,YR2012,49.969736399745244,50.03026360025476
2,YR2013,49.96438833537168,50.035611664628306
3,YR2014,49.95828808788596,50.04171191211403
4,YR2015,49.94874384209696,50.05125615790304
5,YR2016,49.93456952355689,50.06543047644311
6,YR2017,49.91746119012049,50.08253880987951
7,YR2018,49.90039100533331,50.099608994666674
8,YR2019,49.88688126006016,50.11311873993984
9,YR2020,49.878953826061064,50.121046173938936
