,Country Name,Country Code,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020
1,Afghanistan,AFG,1.36000001430511,1.36000001430511,1.36000001430511,7.199999809265139,1.36000001430511,1.36000001430511,10.3699998855591,1.36000001430511,1.36000001430511,10.4499998092651
4,Albania,ALB,13.270000457763699,14.8100004196167,17.7600002288818,19.909999847412102,17.25,16.1399993896484,14.4399995803833,12.630000114440902,11.5799999237061,11.5799999237061
7,Algeria,DZA,8.18000030517578,9.5600004196167,8.300000190734862,8.96000003814697,9.920000076293949,8.18000030517578,10.770000457763699,8.18000030517578,8.18000030517578,8.18000030517578
16,Angola,AGO,7.0,7.0,7.0,9.96000003814697,7.0,7.0,7.0,7.0,7.0,7.0
22,Argentina,ARG,6.2399997711181605,6.05999994277954,6.099999904632571,6.46999979019165,6.05999994277954,6.05999994277954,7.5100002288818395,8.199999809265138,9.18000030517578,10.75
25,Armenia,ARM,17.3299999237061,16.4899997711182,14.369999885559098,15.6800003051758,17.3600006103516,17.729999542236303,17.909999847412102,17.8500003814697,17.5,19.0499992370605
28,Aruba,ABW,8.60000038146973,8.60000038146973,8.60000038146973,8.60000038146973,8.60000038146973,8.60000038146973,8.60000038146973,8.60000038146973,8.60000038146973,8.60000038146973
31,Australia,AUS,4.8899998664856,5.1399998664856,5.71000003814697,6.0,6.03999996185303,5.650000095367429,5.51999998092651,5.28000020980835,5.21000003814697,6.550000190734861
34,Austria,AUT,4.550000190734861,4.92999982833862,5.369999885559079,5.82999992370605,6.09000015258789,6.42999982833862,5.90999984741211,5.019999980926509,4.6100001335144,5.48000001907349
37,Azerbaijan,AZE,4.42999982833862,4.32000017166138,4.03999996185303,4.019999980926509,4.09000015258789,4.19999980926514,4.07000017166138,4.099999904632569,4.0300002098083505,5.96000003814697
40,"Bahamas, The",BHS,13.710000038147,14.0699996948242,16.1100006103516,13.0,11.0,11.1000003814697,8.0,10.1000003814697,8.0,8.0
43,Bahrain,BHR,0.46999999880790705,0.46999999880790705,0.46999999880790705,0.46999999880790705,0.46999999880790705,0.46999999880790705,0.46999999880790705,0.46999999880790705,0.46999999880790705,0.46999999880790705
46,Bangladesh,BGD,3.08999991416931,3.08999991416931,3.1500000953674303,3.08999991416931,3.08999991416931,3.08999991416931,3.3199999332427996,3.08999991416931,3.08999991416931,3.08999991416931
49,Barbados,BRB,9.80000019073486,10.9499998092651,11.6599998474121,11.8100004196167,10.6300001144409,7.849999904632571,8.47000026702881,8.11999988555908,9.52999973297119,7.849999904632571
52,Belarus,BLR,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.699999988079071,1.20000004768372,7.48000001907349,7.23000001907349,5.92999982833862,5.1100001335144,4.769999980926509
55,Belgium,BEL,7.110000133514401,7.650000095367429,8.64000034332275,9.02000045776367,9.09000015258789,8.060000419616701,7.110000133514401,6.28000020980835,5.73000001907349,5.73000001907349
58,Belize,BLZ,4.40000009536743,4.40000009536743,5.82000017166138,4.75,5.44000005722046,4.40000009536743,4.59000015258789,4.40000009536743,5.869999885559079,4.40000009536743
61,Benin,BEN,2.42000007629395,1.24000000953674,1.24000000953674,1.24000000953674,1.24000000953674,1.24000000953674,1.24000000953674,1.24000000953674,1.24000000953674,1.24000000953674
64,Bermuda,BMU,7.71999979019165,8.699999809265138,7.71999979019165,9.80000019073486,7.71999979019165,7.71999979019165,7.71999979019165,7.71999979019165,7.71999979019165,7.71999979019165
67,Bhutan,BTN,1.85000002384186,1.89999997615814,2.2000000476837203,1.9099999666213998,1.8400000333786002,1.8400000333786002,1.8400000333786002,1.8400000333786002,1.8400000333786002,1.8400000333786002
70,Bolivia,BOL,1.91999995708466,1.4900000095367398,1.9800000190734899,1.36000001430511,2.61999988555908,3.08999991416931,3.33999991416931,3.4400000572204603,3.3699998855590803,6.42000007629395
73,Bosnia and Herzegovina,BIH,26.1100006103516,26.3700008392334,26.5499992370605,25.1800003051758,25.780000686645497,22.530000686645497,18.8700008392334,17.2099990844727,13.6499996185303,14.119999885559098
76,Botswana,BWA,21.7000007629395,21.7000007629395,21.7000007629395,21.7000007629395,21.7000007629395,21.7000007629395,21.7000007629395,21.7000007629395,21.7000007629395,24.219999313354503
79,Brazil,BRA,5.050000190734861,5.800000190734861,5.67000007629395,5.599999904632571,7.2399997711181605,10.1899995803833,11.3000001907349,10.8199996948242,10.1400003433228,11.9499998092651
85,Brunei Darussalam,BRN,6.0100002288818395,6.0100002288818395,6.0100002288818395,6.26999998092651,6.0100002288818395,6.0100002288818395,8.80000019073486,7.71999979019165,6.0100002288818395,6.44000005722046
88,Bulgaria,BGR,12.2600002288818,13.520000457763699,13.8999996185303,12.3100004196167,9.77999973297119,8.10000038146973,6.349999904632571,5.69000005722046,4.53999996185303,5.42999982833862
91,Burkina Faso,BFA,3.85999989509583,3.85999989509583,3.85999989509583,3.85999989509583,3.85999989509583,3.85999989509583,3.85999989509583,4.75,3.85999989509583,3.85999989509583
94,Burundi,BDI,2.04999995231628,2.04999995231628,2.04999995231628,2.04999995231628,2.04999995231628,2.04999995231628,2.04999995231628,2.04999995231628,2.04999995231628,2.04999995231628
97,Cabo Verde,CPV,10.6599998474121,10.6599998474121,10.6599998474121,10.6599998474121,31.0,10.6599998474121,11.8199996948242,12.6599998474121,10.6599998474121,10.6599998474121
